Date,Amount,Details,Description,Location,Category
01/10/2025,-10.0,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD,ADELAIDE,Health & Pharmacy
01/10/2025,-34.84,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
01/10/2025,-241.93,SMP*MOONGARDEN PIZZA B0   12WILLUNGA,SMP*MOONGARDEN PIZZA B0,12WILLUNGA,Dining & Food
30/09/2025,-98.0,OFFICEWORKS 0503          NAILSWORTH,OFFICEWORKS 0503,NAILSWORTH,Health & Pharmacy
29/09/2025,-5.86,CHATKAZZ LIGHTSVIEW       Lightsview,CHATKAZZ LIGHTSVIEW,Lightsview,Other
29/09/2025,-16.51,CHATKAZZ LIGHTSVIEW       Lightsview,CHATKAZZ LIGHTSVIEW,Lightsview,Other
29/09/2025,-63.27,UNITED RICHMOND           RICHMOND,UNITED RICHMOND,RICHMOND,Other
29/09/2025,-14.57,BAKERY ON O'CONNELL-      NORTH ADELAID,BAKERY ON O'CONNELL- NORTH,ADELAID,Dining & Food
29/09/2025,-19.0,JB HI FI ADELAIDE CI      ADELAIDE,JB HI FI ADELAIDE CI,ADELAIDE,Health & Pharmacy
29/09/2025,-71.66,CULINARY ESCAPADES PTY LT CAMPBELLTOWN,CULINARY ESCAPADES PTY LT,CAMPBELLTOWN,Dining & Food
29/09/2025,-10.0,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD,ADELAIDE,Health & Pharmacy
29/09/2025,-23.69,ALDI STORES               PROSPECT,ALDI STORES,PROSPECT,Shopping
26/09/2025,-5.68,SQ *CHAIOZ                North Adelaid,SQ *CHAIOZ North,Adelaid,Shopping
26/09/2025,-29.59,COLES 4948                GREENACRES,COLES 4948,GREENACRES,Groceries
26/09/2025,-9.99,RUNDLE MALL FOODLAND      ADELAIDE,RUNDLE MALL FOODLAND,ADELAIDE,Groceries
25/09/2025,-35.0,RETAILORS OPS PTY LTD     ADELAIDE,RETAILORS OPS PTY LTD,ADELAIDE,Shopping
25/09/2025,-1.29,POST ADELAIDE UNIVERSI    ADELAIDE,POST ADELAIDE UNIVERSI,ADELAIDE,Health & Pharmacy
24/09/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD,Adelaide,Shopping
24/09/2025,-60.6,LUCIA S PIZZA AND SP      ADELAIDE,LUCIA S PIZZA AND SP,ADELAIDE,Dining & Food
24/09/2025,-3.2,ASIAN GOURMET RST PL      ADELAIDE,ASIAN GOURMET RST PL,ADELAIDE,Dining & Food
24/09/2025,-9.9,CHARLESWORTH NUTS PT      ADELAIDE,CHARLESWORTH NUTS PT,ADELAIDE,Groceries
23/09/2025,-134.29,COLES 0471                PROSPECT,COLES 0471,PROSPECT,Groceries
23/09/2025,-18.03,SQ *BOTTEGA GELATERIA     Prospect,SQ *BOTTEGA GELATERIA,Prospect,Shopping
23/09/2025,-6.0,MORPHETT VALE LAUNDRET    OSBORNE PARK,MORPHETT VALE LAUNDRET OSBORNE,PARK,Other
23/09/2025,-7.0,UPARK CITY OF ADL         ADELAIDE,UPARK CITY OF ADL,ADELAIDE,Health & Pharmacy
